,0
0,0.09168170392513275
1,0.09273935854435011
2,0.09361313283443407
3,0.09415970742702484
4,0.09428626298904419
5,0.09394297003746033
6,0.09311674535274506
7,0.09182500094175339
8,0.09011000394821167
9,0.08803237974643707
10,0.08566544204950333
11,0.0830886960029602
12,0.08038273453712463
13,0.07762447744607925
14,0.07488323748111725
15,0.07221824675798416
16,0.0696774423122406
17,0.06729640811681747
18,0.0650990754365921
19,0.06309875845909119
20,0.06129942089319229
21,0.05969718471169472
22,0.05828235298395157
23,0.05704092979431152
24,0.05595573037862778
25,0.05500827729701996
26,0.054179467260837555
27,0.05345051735639572
28,0.0528038814663887
29,0.05222339183092117
30,0.05169481039047241
31,0.051206037402153015
32,0.05074707046151161
33,0.05030999332666397
34,0.04988900572061539
35,0.04947996884584427
36,0.0490804985165596
37,0.04868944361805916
38,0.048306673765182495
39,0.04793307185173035
40,0.04756995290517807
41,0.04721881076693535
42,0.046881549060344696
43,0.04655987769365311
44,0.046255290508270264
45,0.045969001948833466
46,0.04570210725069046
47,0.045454964041709456
48,0.04522794485092163
49,0.04502062499523163
